"annee","departement","region","filiere","agriculture","industrie","tertiaire","residentiel","inconnu","totale","habitant_region","habitant_departement"
2011,"Ain","Auvergne-Rhone-Alpes","Electricite",28496.17,1180989.65,737572.47,1977574.54,37947.56,3962580.39,7634223,603827
2011,"Ain","Auvergne-Rhone-Alpes","Gaz",9333,1291535.25,558901,1437921,7923,3305613.25,7634223,603827
2011,"Aisne","Hauts-de-France","Gaz",4707,3466190.18,738309,1635323,103320,5947849.18,5960170,541302
2011,"Aisne","Hauts-de-France","Electricite",26490.69,838010.71,515742.32,1472026.6,3010.34,2855280.66,5960170,541302
2011,"Allier","Auvergne-Rhone-Alpes","Gaz",6112,3020198.28,379391,1178650,7011,4591362.28,7634223,342729
2011,"Allier","Auvergne-Rhone-Alpes","Electricite",25747.9,426364.02,430434.21,1130822.23,3822.28,2017190.64,7634223,342729
2011,"Alpes-de-Haute-Provence","Provence-Alpes-Cote d'Azur","Gaz",112,262578.9,76444,122319,550,462003.9,4916069,160959
2011,"Alpes-de-Haute-Provence","Provence-Alpes-Cote d'Azur","Electricite",13601.05,105074.61,250012.2,685956.96,713.21,1055358.03,4916069,160959
2011,"Alpes-Maritimes","Provence-Alpes-Cote d'Azur","Gaz",10051,317598.23,928798,2598609,136046,3991102.23,4916069,1081244
2011,"Alpes-Maritimes","Provence-Alpes-Cote d'Azur","Electricite",5116.35,349797.93,2106112.95,4118587.18,13451.93,6593066.34,4916069,1081244
2011,"Ardeche","Auvergne-Rhone-Alpes","Gaz",1238,445389.54,119649,406366,11254,983896.54,7634223,317277
2011,"Ardeche","Auvergne-Rhone-Alpes","Electricite",5209.86,403223.45,274104.16,1087970.74,500.77,1771008.98,7634223,317277
2011,"Ardennes","Grand Est","Gaz",756,1084649.73,202503,1083926,6771,2378605.73,5539035,283110
2011,"Ardennes","Grand Est","Electricite",6496.52,510119.99,232299.15,773083.38,84.85,1522083.89,5539035,283110
2011,"Ariege","Occitanie","Electricite",3855.69,133490.4,142803.86,516555.39,5437.19,802142.53,5573466,152286
2011,"Ariege","Occitanie","Gaz",3227.41,343429.84,91928,337265,407,776257.25,5573466,152286
2011,"Aube","Grand Est","Gaz",151,2078678.41,291704,960111,90276,3420920.41,5539035,303997
2011,"Aube","Grand Est","Electricite",33909.59,524680.83,374681.45,962384.81,1928.03,1897584.71,5539035,303997
2011,"Aude","Occitanie","Electricite",14476.57,222900.16,399835.83,1375250.53,1761.16,2014224.25,5573466,359967
2011,"Aude","Occitanie","Gaz",14613.38,551318.69,183286,532893,4407,1286518.07,5573466,359967
2011,"Aveyron","Occitanie","Gaz",537,269349,167049.5,509791,2364,949090.5,5573466,275813
2011,"Aveyron","Occitanie","Electricite",12493.8,318256.95,287100.16,979304.29,590.8,1597746,5573466,275813
2011,"Bas-Rhin","Grand Est","Gaz",4207,3078873.23,256687,904875,232,4244874.23,5539035,1099269
2011,"Bas-Rhin","Grand Est","Electricite",4481.41,216835.73,104060.61,371570.35,173.5,697121.6,5539035,1099269
2011,"Bouches-du-Rhone","Provence-Alpes-Cote d'Azur","Electricite",62316.45,1246276.56,2934017.66,6153680.74,11333,10407624.41,4916069,1975896
2011,"Bouches-du-Rhone","Provence-Alpes-Cote d'Azur","Gaz",289661,22787215.46,1788373,3503459,191393,28560101.46,4916069,1975896
2011,"Calvados","Normandie","Electricite",18773.25,875518.54,934365.75,2343234.05,4200.09,4176091.68,3315077,685262
2011,"Calvados","Normandie","Gaz",12163,1090727.13,781665,1726004,4145,3614704.13,3315077,685262
2011,"Cantal","Auvergne-Rhone-Alpes","Electricite",1134.41,135431.07,147678.49,528378.35,110.76,812733.08,7634223,147577
2011,"Cantal","Auvergne-Rhone-Alpes","Gaz",0,26483,50904,184789,623,262799,7634223,147577
2011,"Charente","Nouvelle-Aquitaine","Electricite",38047.03,530315.8,411859.5,1130154.19,603.74,2110980.26,5773078,352705
2011,"Charente","Nouvelle-Aquitaine","Gaz",8541,1816702.97,234019,900675,404,2960341.97,5773078,352705
2011,"Charente-Maritime","Nouvelle-Aquitaine","Electricite",62161.03,292151.22,769707.59,2484314.3,2141.38,3610475.52,5773078,625682
