"";"annee";"departement";"region";"categorie";"consommation_MWh";"pdl";"centroid";"centroidLng";"centroidLat";"habitant_region";"habitant_departement"
"1";2011;"Aisne";"Hauts-de-France";"X";103320;7;"49.561175834,3.559348786";"3.559348786";"49.561175834";5960170;541302
"2";2011;"Aisne";"Hauts-de-France";"RES-PRO";1635323;92198;"49.561175834,3.559348786";"3.559348786";"49.561175834";5960170;541302
"3";2011;"Aisne";"Hauts-de-France";"ENT";4707;9;"49.561175834,3.559348786";"3.559348786";"49.561175834";5960170;541302
"4";2011;"Aisne";"Hauts-de-France";"ENT";684787;149;"49.561175834,3.559348786";"3.559348786";"49.561175834";5960170;541302
"5";2011;"Aisne";"Hauts-de-France";"ENT";738309;534;"49.561175834,3.559348786";"3.559348786";"49.561175834";5960170;541302
"6";2011;"Ardennes";"Grand Est";"X";6771;5;"49.616230186,4.640763657";"4.640763657";"49.616230186";5539035;283110
"7";2011;"Ardennes";"Grand Est";"ENT";756;1;"49.616230186,4.640763657";"4.640763657";"49.616230186";5539035;283110
"8";2011;"Ardennes";"Grand Est";"RES-PRO";1083926;61169;"49.616230186,4.640763657";"4.640763657";"49.616230186";5539035;283110
"9";2011;"Ardennes";"Grand Est";"ENT";700790;145;"49.616230186,4.640763657";"4.640763657";"49.616230186";5539035;283110
"10";2011;"Ardennes";"Grand Est";"ENT";202503;238;"49.616230186,4.640763657";"4.640763657";"49.616230186";5539035;283110
"11";2011;"Aube";"Grand Est";"ENT";291704;313;"48.30465458,4.161441674";"4.161441674";"48.30465458";5539035;303997
"12";2011;"Aube";"Grand Est";"ENT";716779;90;"48.30465458,4.161441674";"4.161441674";"48.30465458";5539035;303997
"13";2011;"Aube";"Grand Est";"ENT";151;1;"48.30465458,4.161441674";"4.161441674";"48.30465458";5539035;303997
"14";2011;"Aube";"Grand Est";"RES-PRO";960111;58811;"48.30465458,4.161441674";"4.161441674";"48.30465458";5539035;303997
"15";2011;"Aube";"Grand Est";"X";90276;4;"48.30465458,4.161441674";"4.161441674";"48.30465458";5539035;303997
"16";2011;"Aude";"Occitanie";"ENT";183286;237;"43.10329339,2.41352663";"2.41352663";"43.10329339";5573466;359967
"17";2011;"Aude";"Occitanie";"X";4407;5;"43.10329339,2.41352663";"2.41352663";"43.10329339";5573466;359967
"18";2011;"Aude";"Occitanie";"ENT";13537;1;"43.10329339,2.41352663";"2.41352663";"43.10329339";5573466;359967
"19";2011;"Aude";"Occitanie";"RES-PRO";532893;41597;"43.10329339,2.41352663";"2.41352663";"43.10329339";5573466;359967
"20";2011;"Aude";"Occitanie";"ENT";81739;45;"43.10329339,2.41352663";"2.41352663";"43.10329339";5573466;359967
"21";2011;"Aveyron";"Occitanie";"X";2364;3;"44.281092456,2.67856612";"2.67856612";"44.281092456";5573466;275813
"22";2011;"Aveyron";"Occitanie";"ENT";537;2;"44.281092456,2.67856612";"2.67856612";"44.281092456";5573466;275813
"23";2011;"Aveyron";"Occitanie";"ENT";269349;78;"44.281092456,2.67856612";"2.67856612";"44.281092456";5573466;275813
"24";2011;"Aveyron";"Occitanie";"ENT";155287;245;"44.281092456,2.67856612";"2.67856612";"44.281092456";5573466;275813
"25";2011;"Aveyron";"Occitanie";"RES-PRO";509791;31648;"44.281092456,2.67856612";"2.67856612";"44.281092456";5573466;275813
"26";2011;"Bas-Rhin";"Grand Est";"X";232;0;"48.671444799,7.552035823";"7.552035823";"48.671444799";5539035;1099269
"27";2011;"Bas-Rhin";"Grand Est";"RES-PRO";904875;43559;"48.671444799,7.552035823";"7.552035823";"48.671444799";5539035;1099269
"28";2011;"Bas-Rhin";"Grand Est";"ENT";256687;281;"48.671444799,7.552035823";"7.552035823";"48.671444799";5539035;1099269
"29";2011;"Bas-Rhin";"Grand Est";"ENT";4207;10;"48.671444799,7.552035823";"7.552035823";"48.671444799";5539035;1099269
"30";2011;"Bas-Rhin";"Grand Est";"ENT";622603;124;"48.671444799,7.552035823";"7.552035823";"48.671444799";5539035;1099269
"31";2011;"Calvados";"Normandie";"RES-PRO";1726004;112356;"49.099689469,-0.361617069";"-0.361617069";"49.099689469";3315077;685262
"32";2011;"Calvados";"Normandie";"ENT";12163;9;"49.099689469,-0.361617069";"-0.361617069";"49.099689469";3315077;685262
"33";2011;"Calvados";"Normandie";"ENT";781665;574;"49.099689469,-0.361617069";"-0.361617069";"49.099689469";3315077;685262
"34";2011;"Calvados";"Normandie";"ENT";665997;131;"49.099689469,-0.361617069";"-0.361617069";"49.099689469";3315077;685262
"35";2011;"Calvados";"Normandie";"X";4145;10;"49.099689469,-0.361617069";"-0.361617069";"49.099689469";3315077;685262
"36";2011;"Charente";"Nouvelle-Aquitaine";"X";404;1;"45.718705766,0.20301676200000002";"0.20301676200000002";"45.718705766";5773078;352705
"37";2011;"Charente";"Nouvelle-Aquitaine";"ENT";234019;247;"45.718705766,0.20301676200000002";"0.20301676200000002";"45.718705766";5773078;352705
"38";2011;"Charente";"Nouvelle-Aquitaine";"RES-PRO";900675;56905;"45.718705766,0.20301676200000002";"0.20301676200000002";"45.718705766";5773078;352705
"39";2011;"Charente";"Nouvelle-Aquitaine";"ENT";453021;145;"45.718705766,0.20301676200000002";"0.20301676200000002";"45.718705766";5773078;352705
"40";2011;"Charente";"Nouvelle-Aquitaine";"ENT";8541;18;"45.718705766,0.20301676200000002";"0.20301676200000002";"45.718705766";5773078;352705
"41";2011;"Charente-Maritime";"Nouvelle-Aquitaine";"ENT";291300;428;"45.775077954,-0.6790391290000001";"-0.6790391290000001";"45.775077954";5773078;625682
