year,region,department,avgTotalPower,sumTotalPower
2021,GRAND EST,MOSELLE,16.821253,84.106265
2017,BOURGOGNE FRANCHE COMTE,TERRITOIRE DE BELFORT,7.48,7.48
2020,HAUTS DE FRANCE,OISE,12.010666666666667,108.096
2021,OCCITANIE,ARIEGE,6.803134,6.803134
2018,CENTRE VAL DE LOIRE,INDRE ET LOIRE,9.879,9.879
2018,AUVERGNE RHONE ALPES,ALLIER,1.32,1.32
2021,NOUVELLE AQUITAINE,LOT ET GARONNE,0.20562200000000003,0.20562200000000003
2021,NORMANDIE,EURE,7.099291999999998,21.297875999999995
2020,AUVERGNE RHONE ALPES,RHONE,4.932,4.932
2020,NOUVELLE AQUITAINE,LANDES,56.394,56.394
2019,BOURGOGNE FRANCHE COMTE,SAONE ET LOIRE,10.41,10.41
2017,BRETAGNE,ILLE ET VILAINE,6.87,6.87
2019,HAUTS DE FRANCE,AISNE,7.6908,38.454
2019,BOURGOGNE FRANCHE COMTE,YONNE,8.986,8.986
2021,AUVERGNE RHONE ALPES,HAUTE SAVOIE,6.06761,30.338050000000003
2018,CENTRE VAL DE LOIRE,EURE ET LOIR,1.837,1.837
2020,BRETAGNE,FINISTERE,6.542666666666666,39.256
2016,AUVERGNE RHONE ALPES,ALLIER,0.955,0.955
2020,PROVENCE ALPES COTE D AZUR,VAR,7.637,7.637
2018,AUVERGNE RHONE ALPES,HAUTE SAVOIE,7.925666666666667,23.777
2019,AUVERGNE RHONE ALPES,ISERE,8.299666666666665,24.898999999999997
2016,GRAND EST,AUBE,12.1765,24.353
2019,GRAND EST,MOSELLE,3.17,9.51
2020,BRETAGNE,MORBIHAN,10.371,62.226000000000006
2019,BOURGOGNE FRANCHE COMTE,TERRITOIRE DE BELFORT,15.545,15.545
2020,NORMANDIE,CALVADOS,7.993500000000001,15.987000000000002
2021,PAYS DE LA LOIRE,VENDEE,14.47766611111111,130.298995
2021,NOUVELLE AQUITAINE,DORDOGNE,0.666905,0.666905
2020,OCCITANIE,GERS,5.585,5.585
2020,CENTRE VAL DE LOIRE,INDRE,15.523499999999999,31.046999999999997
2019,HAUTS DE FRANCE,SOMME,18.647,18.647
2020,AUVERGNE RHONE ALPES,DROME,1.336,1.336
2020,AUVERGNE RHONE ALPES,LOIRE,10.7995,21.599
2020,PROVENCE ALPES COTE D AZUR,VAUCLUSE,7.49,7.49
2017,GRAND EST,AUBE,9.202333333333334,27.607
2021,AUVERGNE RHONE ALPES,ARDECHE,0.097145,0.097145
2020,HAUTS DE FRANCE,NORD,3.82,22.919999999999998
2021,GRAND EST,BAS RHIN,14.4766925,57.90677
2018,AUVERGNE RHONE ALPES,RHONE,0.145,0.145
2020,CENTRE VAL DE LOIRE,INDRE ET LOIRE,5.4195,10.839
2021,ILE DE FRANCE,ESSONNE,9.800765499999999,19.601530999999998
2018,GRAND EST,HAUTE MARNE,14.293,14.293
2017,AUVERGNE RHONE ALPES,HAUTE SAVOIE,6.273333333333333,18.82
2021,AUVERGNE RHONE ALPES,LOIRE,5.752077000000001,23.008308000000003
2020,PAYS DE LA LOIRE,SARTHE,16.336,16.336
2019,BRETAGNE,ILLE ET VILAINE,4.322,17.288
2019,AUVERGNE RHONE ALPES,RHONE,4.707,4.707
2020,GRAND EST,MOSELLE,4.348750000000001,17.395000000000003
2017,BRETAGNE,FINISTERE,7.27,14.54
2020,AUVERGNE RHONE ALPES,HAUTE LOIRE,7.525,7.525
2019,OCCITANIE,TARN,5.5495,11.099
2018,CENTRE VAL DE LOIRE,LOIRET,6.6505,13.301
2019,PAYS DE LA LOIRE,MAINE ET LOIRE,14.5555,29.111
2019,ILE DE FRANCE,YVELINES,0.2763333333333333,0.829
2020,GRAND EST,MEURTHE ET MOSELLE,10.256,20.512
2019,CENTRE VAL DE LOIRE,LOIRET,10.71,32.13
2020,NORMANDIE,SEINE MARITIME,14.031,14.031
2021,GRAND EST,VOSGES,6.462235666666667,19.386707
2021,CENTRE VAL DE LOIRE,LOIRET,11.008545999999999,55.04273
2018,PAYS DE LA LOIRE,VENDEE,6.204000000000001,18.612000000000002
2015,ILE DE FRANCE,SEINE ET MARNE,12.374666666666664,37.123999999999995
2019,GRAND EST,BAS RHIN,12.105,12.105
2021,HAUTS DE FRANCE,OISE,14.47393814285714,202.63513399999997
2018,ILE DE FRANCE,SEINE ET MARNE,13.519,108.152
2014,GRAND EST,MOSELLE,2.946,2.946
2017,BRETAGNE,MORBIHAN,5.885,5.885
2020,AUVERGNE RHONE ALPES,ISERE,9.20175,36.807
2021,PAYS DE LA LOIRE,MAINE ET LOIRE,9.261764,46.30882
2018,HAUTS DE FRANCE,PAS DE CALAIS,13.4695,26.939
2015,AUVERGNE RHONE ALPES,ALLIER,0.481,0.481
2016,HAUTS DE FRANCE,AISNE,4.888,4.888
2020,ILE DE FRANCE,SEINE ET MARNE,15.460454545454546,170.065
2020,ILE DE FRANCE,ESSONNE,7.4485,14.897
2017,CENTRE VAL DE LOIRE,LOIRET,14.219,14.219
2018,HAUTS DE FRANCE,AISNE,9.4955,18.991
2017,GRAND EST,HAUTE MARNE,11.77,11.77
2021,OCCITANIE,HAUTE GARONNE,28.7224875,57.444975
2021,NORMANDIE,MANCHE,6.726633,20.179899
2019,PAYS DE LA LOIRE,SARTHE,0.597,0.597
2021,NOUVELLE AQUITAINE,VIENNE,13.066290666666667,39.198872
2019,AUVERGNE RHONE ALPES,ALLIER,1.687,1.687
2019,OCCITANIE,GERS,4.884,4.884
2020,NORMANDIE,MANCHE,4.389,4.389
2021,OCCITANIE,TARN,8.619854,25.859562
2021,AUVERGNE RHONE ALPES,ISERE,11.09966,55.4983
