year,region,department,typology,avgTotalPower,sumTotalPower
2020,GRAND EST,MOSELLE,Agricole territorial,5.344,5.344
2021,PROVENCE ALPES COTE D AZUR,VAR,Boues de stations d'épuration (STEP),8.413540000000001,8.413540000000001
2018,AUVERGNE RHONE ALPES,HAUTE SAVOIE,Agricole territorial,5.501,5.501
2021,NORMANDIE,SEINE MARITIME,Agricole territorial,17.145467,17.145467
2020,GRAND EST,BAS RHIN,Agricole territorial,12.84,12.84
2021,AUVERGNE RHONE ALPES,LOIRE,Agricole territorial,6.4919165,12.983833
2016,BOURGOGNE FRANCHE COMTE,TERRITOIRE DE BELFORT,Agricole autonome,6.994,6.994
2019,NORMANDIE,SEINE MARITIME,Agricole territorial,6.21,6.21
2019,CENTRE VAL DE LOIRE,CHER,Agricole territorial,17.388,17.388
2018,PAYS DE LA LOIRE,VENDEE,Agricole territorial,6.112,12.224
2020,OCCITANIE,GERS,Installation de stockage des déchets non dangereux (ISDND),5.585,5.585
2021,OCCITANIE,TARN,Boues de stations d'épuration (STEP),2.4730839999999996,2.4730839999999996
2019,PAYS DE LA LOIRE,MAINE ET LOIRE,Boues de stations d'épuration (STEP),15.515,15.515
2021,HAUTS DE FRANCE,PAS DE CALAIS,Industriel territorial,6.682062,6.682062
2018,CENTRE VAL DE LOIRE,LOIRET,Installation de stockage des déchets non dangereux (ISDND),0.285,0.285
2019,BRETAGNE,FINISTERE,Agricole territorial,18.295,18.295
2021,CENTRE VAL DE LOIRE,LOIRET,Agricole territorial,13.531165999999999,13.531165999999999
2020,NORMANDIE,SEINE MARITIME,Agricole territorial,14.031,14.031
2021,CENTRE VAL DE LOIRE,LOIRET,Agricole autonome,9.878134666666666,29.634404
2018,CENTRE VAL DE LOIRE,CHER,Installation de stockage des déchets non dangereux (ISDND),1.334,1.334
2015,HAUTS DE FRANCE,PAS DE CALAIS,Déchets ménagers et biodéchets,0.888,0.888
2016,GRAND EST,AUBE,Agricole territorial,12.1765,24.353
2020,OCCITANIE,TARN,Boues de stations d'épuration (STEP),2.133,2.133
2020,GRAND EST,ARDENNES,Agricole autonome,9.169,9.169
2019,HAUTS DE FRANCE,PAS DE CALAIS,Déchets ménagers et biodéchets,11.115,11.115
2018,BOURGOGNE FRANCHE COMTE,TERRITOIRE DE BELFORT,Agricole autonome,13.347,13.347
2018,GRAND EST,AUBE,Agricole autonome,13.36,13.36
2020,GRAND EST,VOSGES,Agricole territorial,13.044,13.044
2021,AUVERGNE RHONE ALPES,LOIRE,Agricole autonome,0.8268049999999999,0.8268049999999999
2021,HAUTS DE FRANCE,OISE,Installation de stockage des déchets non dangereux (ISDND),14.368774,14.368774
2021,NOUVELLE AQUITAINE,GIRONDE,Boues de stations d'épuration (STEP),4.833059,4.833059
2020,PAYS DE LA LOIRE,VENDEE,Agricole territorial,17.482000000000003,69.92800000000001
2018,CENTRE VAL DE LOIRE,LOIRET,Agricole autonome,13.016,13.016
2017,GRAND EST,AUBE,Agricole autonome,2.888,2.888
2021,GRAND EST,VOSGES,Industriel territorial,1.81828,1.81828
2016,HAUTS DE FRANCE,PAS DE CALAIS,Agricole autonome,10.414,10.414
2021,NOUVELLE AQUITAINE,VIENNE,Agricole territorial,13.406965,13.406965
2021,NORMANDIE,CALVADOS,Agricole autonome,28.397125,28.397125
2020,CENTRE VAL DE LOIRE,INDRE,Agricole autonome,15.523499999999999,31.046999999999997
2019,PAYS DE LA LOIRE,LOIRE ATLANTIQUE,Agricole territorial,4.111,4.111
2021,GRAND EST,MARNE,Agricole autonome,14.029073333333335,42.08722
2019,HAUTS DE FRANCE,OISE,Installation de stockage des déchets non dangereux (ISDND),13.578,13.578
2018,HAUTS DE FRANCE,AISNE,Agricole territorial,14.088,14.088
2019,AUVERGNE RHONE ALPES,ISERE,Agricole territorial,2.461,2.461
2020,CENTRE VAL DE LOIRE,INDRE ET LOIRE,Agricole territorial,1.749,1.749
2019,HAUTS DE FRANCE,SOMME,Agricole territorial,18.647,18.647
2021,HAUTS DE FRANCE,OISE,Agricole territorial,18.3916114,91.958057
2020,AUVERGNE RHONE ALPES,ALLIER,Agricole autonome,1.44,1.44
2015,BOURGOGNE FRANCHE COMTE,TERRITOIRE DE BELFORT,Agricole autonome,2.055,2.055
2017,HAUTS DE FRANCE,NORD,Agricole autonome,7.854,7.854
2020,BOURGOGNE FRANCHE COMTE,HAUTE SAONE,Agricole territorial,3.016,3.016
2019,CENTRE VAL DE LOIRE,INDRE ET LOIRE,Boues de stations d'épuration (STEP),10.026,10.026
