year,region,typology,avgTotalPower,sumTotalPower
2019,GRAND EST,Agricole autonome,10.8166,54.083
2019,HAUTS DE FRANCE,Agricole territorial,13.20342857142857,92.42399999999999
2020,AUVERGNE RHONE ALPES,Agricole territorial,10.311333333333334,30.934
2021,GRAND EST,Boues de stations d'épuration (STEP),6.9534270000000005,13.906854000000001
2021,ILE DE FRANCE,Agricole territorial,3.1859610000000003,6.3719220000000005
2019,HAUTS DE FRANCE,Agricole autonome,8.487714285714286,59.414
2017,GRAND EST,Déchets ménagers et biodéchets,3.178,3.178
2021,PROVENCE ALPES COTE D AZUR,Boues de stations d'épuration (STEP),13.424437000000003,40.27331100000001
2016,AUVERGNE RHONE ALPES,Agricole autonome,0.955,0.955
2017,BOURGOGNE FRANCHE COMTE,Agricole autonome,7.48,7.48
2019,PAYS DE LA LOIRE,Agricole territorial,8.798399999999999,43.992
2021,BOURGOGNE FRANCHE COMTE,Agricole territorial,14.9690835,29.938167
2019,BRETAGNE,Installation de stockage des déchets non dangereux (ISDND),6.76,13.52
2019,OCCITANIE,Agricole autonome,9.545,9.545
2021,HAUTS DE FRANCE,Agricole autonome,12.086781205882351,410.95056099999994
2018,HAUTS DE FRANCE,Déchets ménagers et biodéchets,6.986000000000001,13.972000000000001
2019,GRAND EST,Boues de stations d'épuration (STEP),0.05,0.05
2018,BRETAGNE,Boues de stations d'épuration (STEP),5.359,5.359
2020,OCCITANIE,Installation de stockage des déchets non dangereux (ISDND),10.5105,21.021
2016,GRAND EST,Déchets ménagers et biodéchets,3.247,3.247
2021,GRAND EST,Déchets ménagers et biodéchets,1.868935,1.868935
2019,OCCITANIE,Installation de stockage des déchets non dangereux (ISDND),4.884,4.884
2019,PAYS DE LA LOIRE,Agricole autonome,5.443,21.772
2018,BRETAGNE,Agricole autonome,3.2983333333333333,9.895
2018,BOURGOGNE FRANCHE COMTE,Installation de stockage des déchets non dangereux (ISDND),10.863,10.863
2021,BOURGOGNE FRANCHE COMTE,Agricole autonome,9.204185,46.020925000000005
2019,ILE DE FRANCE,Agricole territorial,0.195,0.195
2020,CENTRE VAL DE LOIRE,Boues de stations d'épuration (STEP),9.09,9.09
2019,HAUTS DE FRANCE,Déchets ménagers et biodéchets,5.975,11.95
2020,NORMANDIE,Installation de stockage des déchets non dangereux (ISDND),12.757,12.757
2019,GRAND EST,Déchets ménagers et biodéchets,3.955,3.955
2021,NORMANDIE,Installation de stockage des déchets non dangereux (ISDND),16.496525000000002,16.496525000000002
2018,GRAND EST,Agricole autonome,11.066333333333333,33.199
