year,typology,avgTotalPower,sumTotalPower
2015,Agricole autonome,6.210125,49.681
2016,Déchets ménagers et biodéchets,4.871666666666666,14.614999999999998
2014,Déchets ménagers et biodéchets,4.3895,8.779
2019,Industriel territorial,8.4765,16.953
2021,Agricole territorial,13.102213484848487,864.7460900000002
2014,Agricole autonome,6.678666666666667,20.036
2021,Déchets ménagers et biodéchets,10.1015812,50.507906
2015,Déchets ménagers et biodéchets,3.2259999999999995,9.677999999999999
2018,Industriel territorial,0.0,0.0
2018,Installation de stockage des déchets non dangereux (ISDND),4.484714285714285,31.393
2013,Déchets ménagers et biodéchets,0.368,0.736
2020,Boues de stations d'épuration (STEP),7.0547894736842105,134.041
2013,Agricole autonome,3.717,3.717
2018,Agricole territorial,9.831,176.958
2017,Boues de stations d'épuration (STEP),8.023833333333334,48.143
2016,Agricole territorial,6.103285714285714,42.723
2017,Agricole territorial,9.936636363636364,109.303
2021,Industriel territorial,18.780332999999995,131.46233099999998
2019,Boues de stations d'épuration (STEP),6.6081875,105.731
2020,Agricole autonome,8.309737373737375,822.6640000000001
2016,Boues de stations d'épuration (STEP),3.7735000000000003,7.547000000000001
2020,Industriel territorial,10.580166666666665,63.480999999999995
2020,Agricole territorial,12.401181818181819,545.652
2020,Installation de stockage des déchets non dangereux (ISDND),10.761636363636363,118.378
2021,Installation de stockage des déchets non dangereux (ISDND),13.639870545454544,150.03857599999998
2018,Déchets ménagers et biodéchets,5.260666666666666,15.782
2015,Agricole territorial,7.234999999999999,21.705
2016,Agricole autonome,8.476199999999999,84.76199999999999
2019,Déchets ménagers et biodéchets,5.301666666666667,15.905000000000001
2021,Boues de stations d'épuration (STEP),9.19986408,229.996602
2017,Installation de stockage des déchets non dangereux (ISDND),7.2095,14.419
2021,Agricole autonome,9.700389901041671,1862.4748610000008
2018,Agricole autonome,8.708571428571426,243.83999999999995
2020,Déchets ménagers et biodéchets,6.0845,24.338
2019,Agricole territorial,10.80748275862069,313.41700000000003
2019,Installation de stockage des déchets non dangereux (ISDND),8.67125,69.37
2017,Agricole autonome,7.442,119.072
2017,Déchets ménagers et biodéchets,7.001666666666666,21.005
2018,Boues de stations d'épuration (STEP),8.130625,65.045
2019,Agricole autonome,9.023413043478259,415.07699999999994
2014,Agricole territorial,3.174,3.174
