"";"filiere";"date";"count"
"1";"Éolien";"2017-12";2099
"2";"Éolien";"2018-12";2223
"3";"Éolien";"2019-12";2441
"4";"Éolien";"2020-03";2422
"5";"Éolien";"2020-08";2224
"6";"Éolien";"2020-12";1978
"7";"Autre";"2017-12";30
"8";"Autre";"2018-12";77
"9";"Autre";"2019-12";89
"10";"Autre";"2020-03";96
"11";"Autre";"2020-08";94
"12";"Autre";"2020-12";462
"13";"Bioénergie";"2017-12";794
"14";"Bioénergie";"2018-12";954
"15";"Bioénergie";"2019-12";1110
"16";"Bioénergie";"2020-03";1086
"17";"Bioénergie";"2020-08";1023
"18";"Bioénergie";"2020-12";1032
"19";"Energies Marines";"2018-12";1
"20";"Energies Marines";"2019-12";1
"21";"Energies Marines";"2020-08";1
"22";"Energies Marines";"2020-12";1
"23";"Géothermie";"2017-12";1
"24";"Géothermie";"2018-12";1
"25";"Géothermie";"2019-12";1
"26";"Géothermie";"2020-03";1
"27";"Géothermie";"2020-08";1
"28";"Géothermie";"2020-12";1
"29";"Gaz";"2017-12";38
"30";"Gaz";"2018-12";65
"31";"Gaz";"2019-12";104
"32";"Gaz";"2020-12";183
"33";"Hydraulique";"2017-12";2233
"34";"Hydraulique";"2018-12";2770
"35";"Hydraulique";"2019-12";2880
"36";"Hydraulique";"2020-03";2471
"37";"Hydraulique";"2020-08";2749
"38";"Hydraulique";"2020-12";2903
"39";"Marin";"2017-12";4
"40";"Marin";"2018-12";3
"41";"Marin";"2019-12";4
"42";"Marin";"2020-03";4
"43";"Marin";"2020-08";4
"44";"Marin";"2020-12";4
"45";"Nucléaire";"2018-12";58
"46";"Nucléaire";"2019-12";58
"47";"Nucléaire";"2020-08";58
"48";"Nucléaire";"2020-12";58
"49";"Solaire";"2017-12";384514
"50";"Solaire";"2018-12";415790
"51";"Solaire";"2019-12";455356
"52";"Solaire";"2020-03";461703
"53";"Solaire";"2020-08";457254
"54";"Solaire";"2020-12";474942
"55";"Thermique";"2017-12";975
"56";"Thermique";"2018-12";1020
"57";"Thermique";"2019-12";1056
"58";"Thermique";"2020-03";1066
"59";"Thermique";"2020-08";975
"60";"Thermique";"2020-12";995
"61";"Thermique non renouvelable";"2018-12";253
"62";"Thermique non renouvelable";"2019-12";254
"63";"Thermique non renouvelable";"2020-08";254
"64";"Thermique non renouvelable";"2020-12";254
