month,year,avg_debit
1,1916,5.38225806451613E-6
2,1916,1.1820689655172417E-5
3,1916,8.007741935483872E-6
4,1916,1.0898333333333334E-5
5,1916,6.674516129032257E-6
6,1916,4.708E-6
7,1916,5.299677419354839E-6
8,1916,1.8769354838709678E-6
9,1916,3.719666666666666E-6
10,1916,3.766129032258065E-6
11,1916,1.1033666666666669E-5
12,1916,1.0954193548387096E-5
1,1917,4.379032258064517E-6
2,1917,2.7528571428571424E-6
3,1917,8.026129032258066E-6
4,1917,8.012E-6
5,1917,1.2093548387096776E-5
6,1917,4.333E-6
7,1917,2.561774193548387E-6
8,1917,3.1622580645161286E-6
9,1917,1.5238333333333338E-6
10,1917,4.381451612903226E-6
11,1917,6.849333333333335E-6
12,1917,2.2583870967741937E-6
1,1918,2.272629032258065E-5
2,1918,6.396732142857142E-6
3,1918,8.937516129032257E-6
4,1918,3.150971666666667E-5
5,1918,1.7408499999999998E-5
6,1918,4.911583333333333E-6
7,1918,2.0785967741935486E-6
8,1918,2.0995483870967738E-6
9,1918,3.756166666666666E-6
10,1918,4.588064516129033E-6
11,1918,9.1329E-6
12,1918,3.946645161290323E-5
1,1919,2.9443709677419355E-5
2,1919,3.668029761904762E-5
3,1919,5.324758064516129E-5
4,1919,4.179898888888889E-5
5,1919,2.2224806451612906E-5
6,1919,6.3657E-6
7,1919,1.3772827956989249E-5
8,1919,3.0494408602150536E-6
9,1919,4.4882222222222225E-6
10,1919,5.06310752688172E-6
11,1919,2.7529622222222223E-5
12,1919,4.19473870967742E-5
1,1920,3.2259806451612904E-5
2,1920,1.1163517241379312E-5
3,1920,2.386237634408602E-5
4,1920,2.504168888888889E-5
5,1920,1.0916075268817204E-5
6,1920,6.545244444444445E-6
7,1920,9.615301075268817E-6
8,1920,3.698989247311828E-6
9,1920,4.486422222222223E-6
10,1920,1.4536634408602152E-5
11,1920,6.350611111111112E-6
12,1920,1.2968258064516129E-5
1,1921,1.5210048387096772E-5
