year,avg_debit
1916,6.979221311475412E-6
1917,5.044835616438352E-6
1918,1.2807872602739726E-5
1919,2.373627123287673E-5
1920,1.349738160291439E-5
1921,7.911597260273974E-6
1922,2.124300616438356E-5
1923,2.2090926712328745E-5
1924,1.238473838797815E-5
1925,1.4635423287671242E-5
1926,2.2171788356164382E-5
1927,2.2765116164383546E-5
1928,2.215339344262295E-5
1929,1.559851232876712E-5
1930,3.0132784657534242E-5
1931,2.349146438356165E-5
1932,2.2123285974499088E-5
1933,1.3432136301369864E-5
1934,2.0822235616438362E-5
1935,3.28397175038052E-5
1936,2.653116909532483E-5
1937,2.6334774429223754E-5
1938,1.3809110615770402E-5
1939,2.5722345753424652E-5
1940,2.4338468032786897E-5
1941,2.4257336164383543E-5
1942,1.4307119726027407E-5
1943,1.4211421369863011E-5
1944,2.237409166021172E-5
1945,1.2282569863013713E-5
1946,1.125942000000002E-5
1947,1.2962740273972602E-5
1948,1.4979951183970863E-5
1949,8.146068846663713E-6
1950,1.3053563969121356E-5
1951,2.250362987317992E-5
1952,1.8439231035012282E-5
1953,1.1083429788838606E-5
1954,1.4340367994495004E-5
1955,1.741960941668469E-5
1956,1.3188500634899425E-5
1957,1.258832462931375E-5
1958,1.657606289018861E-5
1959,1.5332947602538116E-5
1960,2.27731797674011E-5
1961,1.5683540638795145E-5
1962,1.4590235623562368E-5
1963,1.970313439334639E-5
1964,1.4522487512631751E-5
1965,1.8645241767600316E-5
1966,2.3618564465841395E-5
1967,1.6515808219178094E-5
1968,2.1242012112932623E-5
1969,2.8513365984848482E-5
1970,2.9634419280442825E-5
1971,2.4017306906506825E-5
1972,2.2224718151151935E-5
1973,1.981586798292425E-5
1974,2.3608879889357794E-5
1975,2.2865178187565853E-5
1976,2.0610167927700707E-5
1977,3.628113758342113E-5
1978,3.262052687038991E-5
1979,3.1712947351850515E-5
1980,3.0984603186172356E-5
1981,3.1325568601583144E-5
1982,2.9499445500260082E-5
1983,3.081233887362639E-5
1984,2.8903819017042928E-5
1985,2.4904503784894644E-5
1986,2.789405394996816E-5
1987,2.9931017115410653E-5
1988,3.333088612268397E-5
1989,1.70602511204763E-5
1990,2.162518195790175E-5
1991,2.2247464116271286E-5
1992,2.9746262016021424E-5
1993,2.7446953569140497E-5
1994,3.8161907456991796E-5
1995,3.371511065229793E-5
1996,2.966358471398376E-5
1997,2.60751307934147E-5
1998,2.5366865054915637E-5
1999,3.092282372039095E-5
2000,3.029234352078239E-5
