month,year,sum_debit
1,1916,166.85000000000002
2,1916,342.8
3,1916,248.24
4,1916,326.95
5,1916,206.91
6,1916,141.24
7,1916,164.29
8,1916,58.184999999999995
9,1916,111.58999999999997
10,1916,116.75000000000001
11,1916,331.01
12,1916,339.58000000000004
1,1917,135.75
2,1917,77.08
3,1917,248.81000000000003
4,1917,240.36
5,1917,374.9
6,1917,129.98999999999998
7,1917,79.41499999999999
8,1917,98.03
9,1917,45.71500000000001
10,1917,135.825
11,1917,205.48
12,1917,70.00999999999999
1,1918,1409.0300000000002
2,1918,358.2169999999999
3,1918,554.126
4,1918,1890.5830000000003
5,1918,1079.327
6,1918,294.69500000000005
7,1918,128.873
8,1918,130.172
9,1918,225.37
10,1918,284.46000000000004
11,1918,547.974
12,1918,2446.92
1,1919,2738.2650000000003
2,1919,3081.145
3,1919,4952.025
4,1919,3761.909
5,1919,2066.9069999999997
6,1919,572.913
7,1919,1280.873
8,1919,283.59799999999996
9,1919,403.94
10,1919,470.869
11,1919,2477.6659999999997
12,1919,3901.107
1,1920,3000.1620000000003
2,1920,971.226
3,1920,2219.201
4,1920,2253.7520000000004
5,1920,1015.1949999999999
6,1920,589.072
7,1920,894.2230000000001
8,1920,344.0060000000001
9,1920,403.778
10,1920,1351.9070000000002
11,1920,571.555
12,1920,1206.0480000000002
1,1921,1886.0460000000005
2,1921,1262.6280000000002
3,1921,1939.199
4,1921,1038.8830000000003
5,1921,2076.7880000000005
6,1921,898.0510000000002
7,1921,312.482
8,1921,506.3500000000001
9,1921,494.41
10,1921,246.53800000000004
11,1921,360.28900000000004
12,1921,529.2680000000001
1,1922,2537.1089999999995
2,1922,2992.2619999999993
3,1922,2185.292
4,1922,8549.767
5,1922,2995.0640000000003
6,1922,1168.325
7,1922,586.677
8,1922,430.34600000000006
9,1922,1632.8450000000003
10,1922,1914.832
11,1922,3418.59
12,1922,2603.6799999999994
1,1923,3692.6279999999997
2,1923,3787.57
3,1923,6213.286
4,1923,3513.514
5,1923,2433.875
6,1923,894.3420000000001
7,1923,494.28
8,1923,238.55999999999997
9,1923,356.7420000000001
10,1923,1219.451
11,1923,3218.803999999999
12,1923,6189.701
1,1924,4692.822
2,1924,1457.168
3,1924,2269.3340000000003
4,1924,2067.038
5,1924,997.547
6,1924,700.3709999999999
7,1924,621.985
8,1924,1006.5069999999998
9,1924,659.752
10,1924,1057.4430000000002
11,1924,1311.6480000000001
12,1924,1289.6419999999998
1,1925,739.6560000000002
2,1925,1924.486
3,1925,1689.3850000000002
4,1925,3188.559
5,1925,2570.0710000000004
6,1925,1050.9630000000002
7,1925,853.6150000000001
8,1925,784.278
9,1925,900.7730000000001
10,1925,1192.2730000000001
11,1925,2329.0600000000004
12,1925,4144.598999999999
1,1926,4398.54
2,1926,4590.883
3,1926,2374.938
4,1926,4857.738
5,1926,5521.4529999999995
6,1926,4288.933000000001
7,1926,682.56
8,1926,343.25300000000004
9,1926,279.719
10,1926,619.009
11,1926,2691.495
12,1926,1722.29
1,1927,3570.2180000000008
2,1927,2409.809
3,1927,8957.656
4,1927,4361.886
5,1927,2253.748
6,1927,1126.1640000000002
7,1927,5403.5109999999995
8,1927,2801.3049999999994
9,1927,3196.0979999999995
10,1927,1765.816
11,1927,2811.7000000000007
12,1927,2888.426
1,1928,3734.3540000000003
2,1928,6695.654
3,1928,3458.9940000000006
4,1928,6901.324999999999
5,1928,5929.478
6,1928,2255.265
7,1928,475.726
8,1928,307.06000000000006
9,1928,410.653
10,1928,1150.737
11,1928,5266.907000000001
12,1928,3954.5570000000002
1,1929,3421.822
2,1929,2571.9200000000005
3,1929,1834.7329999999997
4,1929,1365.391
5,1929,3499.067
6,1929,2447.0150000000003
7,1929,1410.823
8,1929,627.6239999999998
9,1929,349.25800000000004
10,1929,1886.2129999999997
11,1929,3369.984
12,1929,5683.435
1,1930,6580.6630000000005
2,1930,2595.776
3,1930,6874.012000000001
4,1930,4080.043000000001
5,1930,3498.933000000001
6,1930,6678.2519999999995
7,1930,3426.2330000000006
8,1930,1706.556
