year,sum_debit
1916,2554.3949999999986
1917,1841.3650000000005
1918,9349.747
1919,25991.21700000001
1920,14820.124999999998
1921,11550.932
1922,31014.789
1923,32252.753000000004
1924,18131.25700000001
1925,21367.71800000001
1926,32370.811
1927,41546.336999999985
1928,40540.71000000001
1929,28467.285000000014
1930,54992.33200000004
1931,51446.30699999997
1932,48582.73600000002
1933,39221.83800000003
1934,68401.04400000001
1935,107878.47200000002
1936,87393.67100000007
1937,86509.73400000003
1938,49560.89799999999
1939,93886.56200000002
1940,89078.79300000006
1941,88539.277
1942,52220.98700000002
1943,51871.68800000004
1944,86654.857
1945,44831.38
1946,41096.883
1947,47314.00199999999
1948,164479.864
1949,92172.76899999997
1950,150494.5390000001
1951,287461.36800000013
1952,240152.54500000007
1953,146966.27899999998
1954,187557.67300000024
1955,241592.56299999962
1956,197339.53499999992
1957,191871.24400000004
1958,252237.94900000005
1959,234394.76999999996
1960,389671.87899999955
1961,301986.5749999999
1962,291775.5319999994
1963,402732.0669999998
1964,301791.81299999997
1965,394085.8299999995
1966,515120.8909999991
1967,367724.46999999933
1968,466474.5860000014
1969,752752.8619999997
1970,770969.0519999985
1971,648899.5979999994
1972,619313.9959999998
1973,557024.0489999988
1974,665746.8039999987
1975,650971.6229999991
1976,588379.0739999996
1977,1032923.9869999989
1978,928706.4000000003
1979,906546.3129999987
1980,892728.3870000006
1981,902301.677999999
1982,850616.5110000004
1983,897255.3079999986
1984,846274.9169999987
1985,727086.988
1986,832944.3449999993
1987,884880.5900000005
1988,984027.7510000005
1989,510067.38800000027
1990,647241.6960000001
1991,665866.6009999997
1992,891198.0100000008
1993,813994.3019999998
1994,1140201.470999999
1995,1004272.0009999998
1996,870151.5940000019
1997,771328.4440000005
1998,757556.0580000005
1999,933405.4340000004
2000,916828.069000001
